"Nº ONU (1)","Nome e Descrição (2)","Classe ou Subclasse de Risco (3)","Risco Subsi- diário (4)","Nº de Risco (5)","Grupo de Emb. (6)","Provisões Especiais (7)","Quant. Limitada por","","Embalagens e IBCs","","Tanques Portáteis e Contentores para Granéis",""
"1677","ARSENIATO DE POTÁSSIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1678","ARSENITO DE POTÁSSIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1679","CUPROCIANETO DE POTÁSSIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1680","CIANETO DE POTÁSSIO, SÓLIDO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"1683","ARSENITO DE PRATA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1684","CIANETO DE PRATA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1685","ARSENIATO DE SÓDIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1686","ARSENITO DE SÓDIO, SOLUÇÃO AQUOSA","6.1","","60","II","43","333","100 ml","P001
IBC02","","T7","TP2"
"","","6.1","","60","III","43
223","333","5 L","P001
IBC03 LP01","","T4","TP2"
"1687","AZIDA DE SÓDIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","",""
"1688","CACODILATO DE SÓDIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1689","CIANETO DE SÓDIO, SÓLIDO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"1690","FLUORETO DE SÓDIO, SÓLIDO","6.1","","60","III","","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1691","ARSENITO DE ESTRÔNCIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1692","ESTRICNINA ou SAIS DE ESTRICNINA","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"1693","SUBSTÂNCIA PARA PRODUÇÃO DE GÁS LACRIMOGÊNEO, LÍQUIDA, N.E.","6.1","","66","I","274","20","ZERO","P001","","",""
"","","6.1","","60","II","","333","ZERO","P001","","",""
"","","","","","","274","","","IBC02","","",""
"1694","CIANETO(S) DE BROMOBENZILA, LÍQUIDOS","6.1","","66","I","","20","ZERO","P001","","T14","TP2"
"","","","","","","138","","","","","",""
"1695","CLOROACETONA, ESTABILIZADA","6.1","3
8","663","I","","20","ZERO","P602","","T20","TP2"
"","","","","","","354","","","","","",""
"","","","","","","","","","","","","TP35"
"1697","CLOROACETOFENONA, SÓLIDA","6.1","","60","II","","333","ZERO","P002
IBC08","B2, B4","T3","TP33"
"1698","DIFENILAMINACLOROARSINA","6.1","","66","I","","20","ZERO","P002","","T6","TP33"
"1699","DIFENILCLOROARSINA, LÍQUIDA","6.1","","66","I","","20","ZERO","P001","","",""
"1700","VELAS LACRIMOGÊNEAS","6.1","4.1","64","","","333","ZERO","P600","","",""
"1701","BROMETO DE XILILA, LÍQUIDO","6.1","","60","II","","333","ZERO","P001
IBC02","","T7","TP2"
"1702","1,1,2,2-TETRACLOROETANO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1704","DITIOPIROFOSFATO DE TETRAETILA","6.1","","60","II","43","333","100 ml","P001
IBC02","","T7","TP2"
"1707","TÁLIO COMPOSTO, N.E.","6.1","","60","II","43","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","","","","","274","","","","","",""
"1708","TOLUIDINAS, LÍQUIDAS","6.1","","60","II","279","333","100 ml","P001
IBC02","","T7","TP2"
"1709","2,4-TOLUILENODIAMINA, SÓLIDA","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1710","TRICLOROETILENO","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T4","TP1"
"1711","XILIDINAS, LÍQUIDAS","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1712","ARSENIATO DE ZINCO, ARSENITO DE ZINCO, ou MISTURA DE ARSENIATO DE ZINCO E ARSENITO DE ZINCO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1713","CIANETO DE ZINCO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"1714","FOSFETO DE ZINCO","4.3","6.1","X462","I","","20","ZERO","P403","","",""
"1715","ANIDRIDO ACÉTICO","8","3","83","II","","333","1 L","P001
IBC02","","T7","TP2"
"1716","BROMETO DE ACETILA","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1717","CLORETO DE ACETILA","3","8","X338","II","","333","1 L","P001
IBC02","","T8","TP2"
"1718","FOSFATO ÁCIDO DE BUTILA","8","","80","III","","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1719","LÍQUIDO ALCALINO CÁUSTICO, N.E.","8","","80","II","274","333","1 L","P001
IBC02","","T11","TP2
TP27"
"","","8","","80","III","223
274","1000","5 L","P001
IBC03","","T7","TP1
TP28"
"1722","CLOROFORMIATO DE ALILA","6.1","3
8","668","I","","20","ZERO","P001","","T14","TP2"
"1723","IODETO DE ALILA","3","8","338","II","","333","1 L","P001","","T7","TP2"
"","","","","","","","","","IBC02","","",""
"1724","ALILTRICLOROSSILANO, ESTABILIZADO","8","3","X839","II","386","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1725","BROMETO DE ALUMÍNIO, ANIDRO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1726","CLORETO DE ALUMÍNIO, ANIDRO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1727","HIDROGENODIFLUORETO DE AMÔNIO, SÓLIDO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1728","AMILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1729","CLORETO DE ANISOÍLA","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1730","PENTACLORETO DE ANTIMÔNIO, LÍQUIDO","8","","X80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1731","PENTACLORETO DE ANTIMÔNIO, SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1732","PENTAFLUORETO DE ANTIMÔNIO","8","6.1","86","II","","333","1 L","P001
IBC02","","T7","TP2"
"1733","TRICLORETO DE ANTIMÔNIO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1736","CLORETO DE BENZOÍLA","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1737","BROMETO DE BENZILA","6.1","8","68","II","","333","ZERO","P001
IBC02","","T8","TP2"
"1738","CLORETO DE BENZILA","6.1","8","68","II","","333","ZERO","P001
IBC02","","T8","TP2"
"1739","CLOROFORMIATO DE BENZILA","8","","88","I","","20","ZERO","P001","","T10","TP2"
"1740","HIDROGENODIFLUORETOS, SÓLIDOS, N.E.","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","8","","80","III","223","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1741","TRICLORETO DE BORO","2.3","8","268","","","20","ZERO","P200","","",""
"1742","TRIFLUORETO DE BORO E ÁCIDO ACÉTICO, COMPLEXO DE, LÍQUIDO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1743","TRIFLUORETO DE BORO E ÁCIDO PROPIÔNICO, COMPLEXO DE, LÍQUIDO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1744","BROMO ou SOLUÇÃO DE BROMO","8","6.1","886","I","","20","ZERO","P804","","T22","TP2 TP10"
"1745","PENTAFLUORETO DE BROMO","5.1","6.1
8","568","I","","20","ZERO","P200","","T22","TP2"
"1746","TRIFLUORETO DE BROMO","5.1","6.1","568","I","","20","ZERO","P200","","T22","TP2"
"","","","8","","","","","","","","",""
"1747","BUTILTRICLOROSSILANO","8","3","X83","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1748","HIPOCLORITO DE CÁLCIO,  SECO ou  MISTURA DE  HIPOCLORITO DE  CÁLCIO, SECA  com mais  de 39%  de cloro
livre (8,8% de oxigênio livre)","5.1","","50","II","314","333","1 kg","P002
IBC08","PP85
B2, B4, B13","",""
"","","5.1","","50","III","316","1000","5 kg","P002
IBC08","PP85
B4, B13","",""
"1749","TRIFLUORETO DE CLORO","2.3","5.1
8","265","","","20","ZERO","P200","","",""
"1750","ÁCIDO CLORACÉTICO, SOLUÇÃO","6.1","8","68","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1751","ÁCIDO CLORACÉTICO, SÓLIDO","6.1","8","68","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1752","CLORETO DE CLOROACETILA","6.1","8","668","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP35"
"1753","CLOROFENILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2"
"","","","","","","","","","","","","TP7"
"1754","ÁCIDO CLOROSSULFONICO (com ou sem trióxido de enxofre)","8","","X88","I","","20","ZERO","P001","","T20","TP2"
"1755","ÁCIDO CRÔMICO, SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1756","FLUORETO CRÔMICO, SÓLIDO","8","","80","II","","333","1kg","P002
IBC08","B2, B4","T3","TP33"
"1757","FLUORETO CRÔMICO, SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1758","OXICLORETO DE CROMO","8","","X88","I","","20","ZERO","P001","","T10","TP2"
"1759","SÓLIDO CORROSIVO, N.E.","8","","88","I","274","20","ZERO","P002","B1","T6","TP33"
"","","","","","","","","","IBC07","","",""
"","","8","","80","II","274","333","1kg","P002
IBC08","B2, B4","T3","TP33"
"","","8","","80","III","223
274","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1760","LÍQUIDO CORROSIVO, N.E.","8","","88","I","274","20","ZERO","P001","","T14","TP2 TP27"
"","","8","","80","II","274","333","1 L","P001
IBC02","","T11","TP2
TP27"
"","","8","","80","III","223
274","1000","5 L","P001 IBC03
LP01","","T7","TP1 TP28"
"1761","CUPRIETILENODIAMINA, SOLUÇÃO","8","6.1","86","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","6.1","86","III","223","1000","5 L","P001
IBC03","","T7","TP1
TP28"
"1762","CICLO-HEXENILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1763","CICLO-HEXILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1764","ÁCIDO DICLORACÉTICO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1765","CLORETO DE DICLOROACETILA","8","","X80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1766","DICLOROFENILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1767","DIETILDICLOROSSILANO","8","3","X83","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1768","ÁCIDO DIFLUORFOSFÓRICO, ANIDRO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1769","DIFENILDICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1770","BROMETO DE DIFENILMETILA","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1771","DODECILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1773","CLORETO FÉRRICO, ANIDRO","8","","80","III","","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1774","CARGAS PARA EXTINTOR DE INCÊNDIO, líquidas, corrosivas","8","","80","II","","333","1 L","P001","PP4","",""
"1775","ÁCIDO FLUORBÓRICO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1776","ÁCIDO FLUORFOSFÓRICO, ANIDRO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1777","ÁCIDO FLUORSULFÔNICO","8","","88","I","","20","ZERO","P001","","T10","TP2"
"1778","ÁCIDO FLUORSILÍCICO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1779","ÁCIDO FÓRMICO com mais de 85% de ácido em massa","8","3","83","II","","333","1 L","P001
IBC02","","T7","TP2"
"1780","CLORETO DE FUMARILA","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1781","HEXADECILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2"
"","","","","","","","","","","","","TP7"
"","","","","","","","","","","","",""
"1782","ÁCIDO HEXAFLUORFOSFÓRICO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1783","HEXAMETILENODIAMINA SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1784","HEXILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1786","MISTURA DE ÁCIDO FLUORÍDRICO E ÁCIDO SULFÚRICO","8","6.1","886","I","","20","ZERO","P001","","T10","TP2"
"1787","ÁCIDO IODÍDRICO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1788","ÁCIDO BROMÍDRICO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1789","ÁCIDO CLORÍDRICO","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"","","8","","80","III","","1000","5 L","P001
IBC03 LP01","","T4","TP1"
"1790","ÁCIDO FLUORÍDRICO, com mais de 60% de ácido fluorídrico","8","6.1","886","I","","20","ZERO","P802","PP79
PP81","T10","TP2"
"","ÁCIDO FLUORÍDRICO, com até 60% de ácido fluorídrico","8","6.1","86","II","","333","1 L","P001
IBC02","","T8","TP2"
"1791","HIPOCLORITO SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","PP10
B5","T7","TP2
TP24"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP2 TP24"
"1792","MONOCLORETO DE IODO, SÓLIDO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T7","TP2"
"1793","FOSFATO ÁCIDO DE ISOPROPILA","8","","80","III","","1000","5 L","P001
IBC02 LP01","","T4","TP1"
"1794","SULFATO DE CHUMBO com mais de 3% de ácido livre","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1796","MISTURA NITRANTE ÁCIDA, com mais de 50% de ácido nítrico","8","5.1","885","I","","20","ZERO","P001","","T10","TP2"
"","MISTURA NITRANTE ÁCIDA, com até 50% de ácido nítrico","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1798","ÁCIDO NITROCLORÍDRICO","8","","88","I","","20","ZERO","P802","","T10","TP2"
"1799","NONILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1800","OCTADECILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1801","OCTILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1802","ÁCIDO PERCLÓRICO com até 50% de ácido, em massa","8","5.1","85","II","","333","1 L","P001
IBC02","","T7","TP2"
"1803","ÁCIDO FENOLSULFÔNICO, LÍQUIDO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1804","FENILTRICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2"
"","","","","","","","","","","","","TP7"
"","","","","","","","","","","","",""
"1805","ÁCIDO FOSFÓRICO, SOLUÇÃO","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1806","PENTACLORETO DE FÓSFORO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1807","PENTÓXIDO DE FÓSFORO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1808","TRIBROMETO DE FÓSFORO","8","","X80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1809","TRICLORETO DE FÓSFORO","6.1","8","668","I","","20","ZERO","P602","","T20","TP2"
"","","","","","","354","","","","","",""
"","","","","","","","","","","","","TP35"
"1810","OXICLORETO DE FÓSFORO","6.1","8","X668","I","","333","ZERO","P602","","T20","TP2"
"","","","","","","354","","","","","",""
"","","","","","","","","","","","","TP37"
"1811","HIDROGENODIFLUORETO DE POTÁSSIO SÓLIDO","8","6.1","86","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1812","FLUORETO DE POTÁSSIO SÓLIDO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1813","HIDRÓXIDO DE POTÁSSIO, SÓLIDO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1814","HIDRÓXIDO DE POTÁSSIO SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001
IBC03 LP01","","T4","TP1"
"1815","CLORETO DE PROPIONILA","3","8","338","II","","333","1 L","P001
IBC02","","T7","TP1"
"1816","PROPILTRICLOROSSILANO","8","3","X83","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1817","CLORETO DE PIROSSULFURILA","8","","X80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1818","TETRACLORETO DE SILÍCIO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"1819","ALUMINATO DE SÓDIO SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1823","HIDRÓXIDO DE SÓDIO, SÓLIDO","8","","80","II","","333","1 Kg","P002
IBC08","B2, B4","T3","TP33"
"1824","HIDRÓXIDO DE SÓDIO SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1825","MONÓXIDO DE SÓDIO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1826","MISTURA NITRANTE ÁCIDA, RESIDUAL, com mais de 50% de ácido nítrico","8","5.1","885","I","","20","ZERO","P001","","T10","TP2"
"","","","","","","113","","","","","",""
"","MISTURA NITRANTE ÁCIDA, RESIDUAL, com até 50% de ácido nítrico","8","","80","II","113","333","1 L","P001
IBC02","","T8","TP2"
"1827","CLORETO ESTÂNICO, ANIDRO","8","","X80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1828","CLORETO(S) DE ENXOFRE","8","","X88","I","","20","ZERO","P602","","T20","TP2"
"1829","TRIÓXIDO DE ENXOFRE, ESTABILIZADO","8","","X88","I","","20","ZERO","P001","","T20","TP4
TP25 TP26"
"1830","ÁCIDO SULFÚRICO, com mais de 51% de ácido","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"1831","ÁCIDO SULFÚRICO, FUMEGANTE","8","6.1","X886","I","","20","ZERO","P602","","T20","TP2"
"1832","ÁCIDO SULFÚRICO, RESIDUAL","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"","","","","","","113","","","","","",""
"1833","ÁCIDO SULFUROSO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1834","CLORETO DE SULFURILA","6.1","8","X668","I","","20","ZERO","P602","","T20","TP2"
"","","","","","","354","","","","","",""
"","","","","","","","","","","","","TP37"
"1835","HIDRÓXIDO DE TETRAMETILAMÔNIO SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","","","","","","","","","","",""
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T7","TP2"
"1836","CLORETO DE TIONILA","8","","X88","I","","20","ZERO","P802","","T10","TP2"
"","","","","","","","","","","","",""
"1837","CLORETO DE TIOFOSFORILA","8","","X80","II","","333","1 L","P001
IBC02","","T7","TP2"
"1838","TETRACLORETO DE TITÂNIO","6.1","8","X668","I","","333","ZERO","P602","","T20","TP2"
"","","","","","","354","","","","","",""
"","","","","","","","","","","","","TP37"
"1839","ÁCIDO TRICLOROACÉTICO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1840","CLORETO DE ZINCO SOLUÇÃO","8","","80","III","223","1000","5 L","P001
IBC03","","T4","TP1"
"","","","","","","","","","LP01","","",""
"1841","ACETALDEÍDO DE AMÔNIA","9","","90","III","","1000","5 kg","P002 IBC08
LP02","B3, B6","T1","TP33"
"1843","DINITRO-o-CRESOLATO DE AMÔNIO, SÓLIDO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1845","DIÓXIDO DE CARBONO, SÓLIDO (GELO SECO)","9","","90","III","","ILIMITADA","ZERO","P003","PP18","",""
"1846","TETRACLORETO DE CARBONO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1847","SULFETO DE POTÁSSIO, HIDRATADO com no mínimo 30% de água de cristalização","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1848","ÁCIDO PROPIÔNICO com no mínimo 10% e com menos de 90% de ácido em massa","8","","80","III","","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"1849","SULFETO DE SÓDIO, HIDRATADO com no mínimo 30% de água","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1851","MEDICAMENTO, TÓXICO, LÍQUIDO, N.E.","6.1","","60","II","221","333","100 ml","P001","","",""
"","","6.1","","60","III","221
223","333","5 L","P001","","",""
"1854","LIGAS DE BÁRIO, PIROFÓRICA(S)","4.2","","43","I","","ZERO","ZERO","P404","","T21","TP7
TP33"
"1855","CÁLCIO, PIROFÓRICO, ou LIGAS DE CÁLCIO, PIROFÓRICAS","4.2","","43","I","","ZERO","ZERO","P404","","",""
"1856","TRAPOS, OLEOSOS","PRODUTO NÃO SUJEITO AO REGULAMENTO DO TRANSPORTE TERRESTRE DE PRODUTOS PERIGOSOS","","","","","","","","","",""
"1858","HEXAFLUORPROPILENO (GÁS REFRIGERANTE R 1216)","2.2","","20","","","1000","120 ml","P200","","T50",""
"1859","TETRAFLUORETO DE SILÍCIO","2.3","8","268","","","20","ZERO","P200","","",""
"1860","FLUORETO DE VINILA, ESTABILIZADO","2.1","","239","","","333","ZERO","P200","","",""
"1862","CROTONATO DE ETILA","3","","33","II","","333","1 L","P001
IBC02","","T4","TP2"
"1863","COMBUSTÍVEL PARA AVIÕES A TURBINA ou QUEROSENE DE AVIAÇÃO QAV-1 ou JET A-1","3","","33","I","","20","500 ml","P001","","T11","TP1
TP8 TP28"
"","","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1
TP8"
"","","3","","30","III","223","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"1865","NITRATO DE n-PROPILA","3","","33","II","26","333","1 L","P001
IBC02","B7","",""
"1866","RESINA SOLUÇÃO, inflamável","3","","33","I","","20","500 ml","P001","","T11","TP1 TP8
TP28"
"","","3","","33","II","","333","5 L","P001
IBC02","PP1","T4","TP1
TP8"
"","","","","","","","","","","","",""
"","","3","","30","III","223","1000","5 L","P001
IBC03 LP01","PP1","T2","TP1"
